Sp,Csize,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68
Antrozous_pallidus,29.11046426,0.280723171,0.04494768,0.22519748,0.022366114,0.172031117,0.010286972,-0.009067909,-0.00362707,-0.103721617,0.121619129,-0.153268609,0.037192639,-0.19336639,0.030092478,-0.162652301,-0.025084481,-0.195503248,-0.049304657,-0.047472111,-0.074208593,0.222519697,-0.04120027,0.277782954,0.020988164,0.270769704,-0.000588425,0.258296952,-0.018716398,0.242056194,-0.033484392,0.183220489,-0.045190017,0.140768266,-0.053706086,0.094695872,-0.063534443,0.046542885,-0.07158457,-0.001028405,-0.077786896,-0.080968042,-0.06769247,-0.112636519,-0.061541315,-0.142005937,-0.062216414,-0.172752744,-0.068315405,-0.170058178,-0.004826104,-0.188046904,0.008300612,-0.145005042,0.060528052,-0.137352174,0.086611883,-0.126994954,0.110480502,-0.078593676,0.106178196,-0.064863279,0.079379116,-0.05545561,0.050842257,-0.045537789,0.025220662,-0.028253345,0.007573551
Balantiopteryx_plicata,18.5702874,0.278902209,0.050248117,0.235173502,0.048645836,0.169700041,0.030210513,-0.014800004,-0.008102004,-0.093039422,0.075205564,-0.112147795,0.047428522,-0.19807395,0.042672551,-0.176069997,-0.004327485,-0.196111255,-0.021412414,-0.078918053,-0.058991179,0.233119055,-0.041908187,0.293089534,0.034179042,0.288515749,0.014649507,0.274294423,-0.007783648,0.255387202,-0.030091945,0.186584518,-0.045314802,0.137536903,-0.057446198,0.085063529,-0.068908626,0.030993531,-0.081020395,-0.025921766,-0.075753531,-0.104795248,-0.051557789,-0.127947416,-0.054570448,-0.152258198,-0.056660035,-0.175754091,-0.050270029,-0.182152579,0.016210962,-0.201526419,0.024412285,-0.105279614,0.055431242,-0.100706185,0.062177017,-0.097906392,0.069990771,-0.07922895,0.062762138,-0.074726129,0.043334531,-0.073357133,0.024631963,-0.058834776,0.012238915,-0.038804824,-0.000310763
Pteronotus_personatus,20.93310324,0.283806728,0.07550486,0.236353418,0.063855328,0.150569142,0.041275105,-0.02336645,-0.003523344,-0.073808025,0.056337154,-0.089508424,0.046892306,-0.19721445,0.055460362,-0.196460118,-0.001693186,-0.217814383,-0.009333489,-0.075294722,-0.078580181,0.233752649,-0.042919463,0.295101372,0.048098778,0.294458326,0.02067305,0.277107793,-0.004646053,0.258806199,-0.031747496,0.180584829,-0.045961542,0.129438783,-0.059699311,0.079261072,-0.072181515,0.027756445,-0.077674809,-0.024853613,-0.081010674,-0.108655338,-0.069932183,-0.14127413,-0.056611185,-0.171521399,-0.04300196,-0.200271622,-0.036229627,-0.193707188,0.018812595,-0.195875464,0.037535636,-0.082545422,0.052876851,-0.080220639,0.055295485,-0.078606833,0.057115584,-0.066370985,0.044799879,-0.06583503,0.03028311,-0.06346588,0.014978789,-0.056964195,0.001071289,-0.043362446,-0.006120145
Cardioderma_cor,41.26090219,0.297712223,0.042402934,0.25109738,0.038745417,0.172129567,0.020584282,-0.006914473,0.00607543,-0.102812473,0.11602945,-0.153903357,0.026891745,-0.190836705,0.009565415,-0.166265824,-0.029069454,-0.189151502,-0.044490928,-0.058128281,-0.059146728,0.216880795,-0.042749263,0.289628318,0.018083872,0.278466034,-0.004678467,0.262751218,-0.024867412,0.241403532,-0.039429677,0.171841701,-0.046336247,0.126505718,-0.051705987,0.081490626,-0.059600951,0.035492315,-0.066319251,-0.011101129,-0.071181045,-0.091965221,-0.047894388,-0.122121784,-0.042321259,-0.146376029,-0.055567252,-0.171229281,-0.062295666,-0.167206931,-0.013372071,-0.180954624,-0.00410301,-0.137354787,0.04753982,-0.125117857,0.073305943,-0.122166985,0.10133902,-0.081321547,0.099145745,-0.067027007,0.073578788,-0.057039505,0.048704836,-0.047810912,0.027805582,-0.028593212,0.015330776
Cheiromeles_torquatus,55.6113176,0.269284945,0.073994354,0.226431218,0.054550025,0.175798388,0.032006828,0.007081182,0.015314857,-0.093870282,0.132706609,-0.143417563,0.066699541,-0.210633769,0.044816897,-0.17997251,-0.044165961,-0.200655254,-0.078663796,-0.026933478,-0.086115423,0.185707506,-0.057002643,0.275132582,0.030910199,0.271059098,-0.008909789,0.251581394,-0.03950486,0.218096071,-0.055425706,0.153536061,-0.060907516,0.124813474,-0.065367193,0.092314507,-0.070287022,0.056425581,-0.077152399,0.01726522,-0.084975087,-0.064878967,-0.073660303,-0.102863909,-0.077227718,-0.133424786,-0.102549391,-0.16770558,-0.113988144,-0.193542373,-0.012679375,-0.206959205,0.013613158,-0.128345172,0.086724924,-0.115286577,0.105006903,-0.110544341,0.124873407,-0.072100536,0.116624715,-0.061719452,0.089841892,-0.054329696,0.061770437,-0.039626922,0.03785579,-0.017716854,0.02127179
Chrotopterus_auritus,52.23742511,0.300282614,0.031164711,0.253450873,0.037789696,0.170782755,0.03489147,-0.008648978,0.022415964,-0.104115083,0.105787504,-0.168486551,0.039027454,-0.206320067,0.02167952,-0.168746939,-0.032544766,-0.188666145,-0.051377947,-0.032451674,-0.069491616,0.202608712,-0.041679308,0.292766232,0.004893701,0.279124212,-0.018000921,0.257452227,-0.035262088,0.230336821,-0.045469081,0.161289636,-0.041282341,0.122395237,-0.047001556,0.084200765,-0.053336159,0.046371677,-0.060397249,0.008550888,-0.06692022,-0.069285923,-0.065341246,-0.105447045,-0.061223566,-0.134748241,-0.059559071,-0.16250523,-0.064500771,-0.178252308,-0.012490976,-0.193711077,0.003260909,-0.152880831,0.056482066,-0.135941867,0.074265029,-0.124043634,0.093050952,-0.08033577,0.098084861,-0.066606504,0.079862174,-0.055826355,0.059128158,-0.044435657,0.038843824,-0.028156768,0.025250891
Hipposideros_armiger,49.25891639,0.285078999,0.05041887,0.231762277,0.030580126,0.163211059,0.017568813,-0.023347664,0.009880739,-0.092761839,0.103774334,-0.133632794,0.043993973,-0.194197345,0.01164407,-0.169006546,-0.02536226,-0.197510314,-0.061377052,-0.062513039,-0.058628666,0.23109342,-0.040615349,0.280780798,0.024198005,0.279785378,-0.00108399,0.271720025,-0.022488547,0.255783516,-0.037954109,0.182429704,-0.046543466,0.13176665,-0.05443142,0.080237023,-0.063389192,0.029112215,-0.0700631,-0.019280564,-0.071668358,-0.091022804,-0.049362517,-0.119512681,-0.047831577,-0.147926657,-0.057423077,-0.176290798,-0.071685012,-0.174988834,-0.010278529,-0.189100156,-0.003525969,-0.121782022,0.059934371,-0.113747367,0.077119078,-0.106301754,0.093662156,-0.077459915,0.091259032,-0.066774163,0.072665671,-0.058149235,0.05340494,-0.048681192,0.035022173,-0.038773382,0.018585838
Hipposideros_caffer,22.24915745,0.294592004,0.051931324,0.234330818,0.03197625,0.159503775,0.012844315,-0.032201911,0.001391656,-0.085483604,0.073625427,-0.133337608,0.040752929,-0.207134178,0.026716238,-0.17205517,-0.01216045,-0.187902125,-0.035448935,-0.076242359,-0.051307221,0.241490636,-0.034125342,0.294424384,0.028669776,0.286460605,0.006094628,0.278422614,-0.016296311,0.266486928,-0.034192745,0.187512132,-0.041737464,0.130678406,-0.050955356,0.073201278,-0.057994095,0.018004531,-0.066197458,-0.032996505,-0.064525296,-0.10102286,-0.046052609,-0.123378052,-0.041916102,-0.144332618,-0.047347662,-0.165966444,-0.05383176,-0.186947124,0.001958357,-0.201731054,0.01315162,-0.119520141,0.049920863,-0.107384096,0.057867987,-0.096554079,0.065010952,-0.072564749,0.06442126,-0.064147353,0.05202601,-0.059009933,0.038618038,-0.051073953,0.025608984,-0.044122195,0.011502192
Hipposideros_commersoni,56.65817483,0.277840351,0.057311626,0.219302065,0.040640778,0.145351046,0.02477679,-0.016131124,0.019486773,-0.112080417,0.115805265,-0.137911261,0.047219722,-0.194028486,-0.002845362,-0.165084428,-0.029009212,-0.176543405,-0.054617044,-0.054538189,-0.059891328,0.232767799,-0.056008492,0.278139979,0.027965423,0.274253216,0.000484901,0.265851037,-0.024742552,0.252425354,-0.046387656,0.186233647,-0.069694582,0.138058047,-0.081108601,0.090050319,-0.088340799,0.041742509,-0.08802201,-0.006528402,-0.077236355,-0.084534912,-0.049417982,-0.112416526,-0.046816684,-0.135993157,-0.058833089,-0.156451555,-0.071395857,-0.174175992,-0.018985402,-0.186887544,-0.014768866,-0.130192396,0.067705063,-0.124202162,0.086258936,-0.123475996,0.104232321,-0.091839703,0.105539534,-0.075003123,0.088788842,-0.061836814,0.069485325,-0.04874496,0.05000588,-0.033414817,0.032414694
Hipposideros_diadema,49.36669336,0.293787164,0.04723427,0.239689176,0.032591656,0.15858241,0.014282234,-0.021704212,0.009509824,-0.105741654,0.106381063,-0.129157589,0.044480487,-0.194956793,0.009202432,-0.164179365,-0.027815032,-0.182292663,-0.059229601,-0.066187102,-0.052836689,0.227945607,-0.044031811,0.287347056,0.022417306,0.281536851,-0.002012702,0.270004619,-0.023646696,0.253249972,-0.040926362,0.17712139,-0.050226103,0.125620525,-0.056468197,0.075247806,-0.063193719,0.026670588,-0.070658137,-0.020653049,-0.065806902,-0.096515135,-0.047553614,-0.121572152,-0.045284975,-0.136850648,-0.068883923,-0.160249847,-0.084792401,-0.174169207,-0.012825461,-0.187897778,-0.004401845,-0.121284681,0.062647297,-0.115578595,0.079416745,-0.115369178,0.095804746,-0.085661716,0.096271863,-0.070952571,0.078276406,-0.060051298,0.058893926,-0.049519006,0.040027778,-0.036258928,0.023156137
