Sp,Csize,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
Antrozous_pallidus,31.16335461,0.336230125,0.027965662,0.293382534,-0.020265245,0.221492058,-0.069550738,0.162421497,-0.087800432,0.128862447,-0.096103021,-0.039370273,-0.075591761,-0.112517615,-0.086283313,-0.098419996,-0.151168556,-0.237722022,-0.145731954,-0.242076415,-0.099191329,-0.298350403,-0.003565791,-0.106776728,0.10720195,-0.019914009,0.113478043,0.061370789,0.111243246,0.139025878,0.102624652,0.213152143,0.088033248,0.280002784,0.071938693,-0.171300077,0.090511375,-0.230912945,0.076597763,-0.278579771,0.045657507
Balantiopteryx_plicata,22.68945585,0.318167942,0.036090662,0.277233058,-0.015928693,0.215230478,-0.092964952,0.161943372,-0.110654814,0.121970559,-0.115756423,-0.031817433,-0.104513118,-0.09717719,-0.111695577,-0.078743317,-0.159605457,-0.222747499,-0.149673335,-0.235260762,-0.116418253,-0.30004892,0.008077367,-0.106877376,0.131932181,-0.019727715,0.133411025,0.058606939,0.108535189,0.133159158,0.084282641,0.206882364,0.102832113,0.272567502,0.100311704,-0.172006004,0.121347154,-0.226608794,0.092590704,-0.274746364,0.057799882
Pteronotus_personatus,23.81825448,0.316421328,0.050486147,0.277949197,-0.001160621,0.187521867,-0.084961555,0.139808151,-0.111804347,0.10779023,-0.119617029,-0.026829809,-0.128691945,-0.088288131,-0.121916528,-0.073807789,-0.167504999,-0.230335654,-0.185335706,-0.238745744,-0.135649214,-0.305412019,0.024498795,-0.09292606,0.14135462,-0.009456401,0.127134618,0.058821964,0.088587705,0.132909404,0.084321546,0.210574693,0.105616559,0.277310378,0.111538663,-0.156988591,0.136296004,-0.214337014,0.108989123,-0.271979999,0.077818164
Cardioderma_cor,36.8577061,0.345329293,-0.017695414,0.299480724,-0.04616572,0.218859193,-0.076080638,0.1641582,-0.088031447,0.126609209,-0.090422887,-0.032721713,-0.081966375,-0.094820394,-0.064471191,-0.078385337,-0.106299834,-0.203306553,-0.145343144,-0.2203781,-0.110869958,-0.290707061,-0.04525273,-0.126566469,0.149997951,-0.038106663,0.155619605,0.0482508,0.139702022,0.131195041,0.119235189,0.199346047,0.070162262,0.277454477,0.04049296,-0.186583202,0.10811759,-0.248262273,0.070532243,-0.290845218,0.018739515
Cheiromeles_torquatus,57.02893237,0.334453006,0.016421565,0.314103116,-0.02917635,0.231585052,-0.077998034,0.178109185,-0.099306139,0.148786842,-0.10068294,-0.052051091,-0.093559058,-0.108061374,-0.09358179,-0.098700177,-0.14468663,-0.212254735,-0.150753699,-0.211423946,-0.09212531,-0.278661374,0.027577689,-0.135106151,0.085637366,-0.048071331,0.086472369,0.036758354,0.109408029,0.123878029,0.104016672,0.207492726,0.103384332,0.27759605,0.081706913,-0.192122015,0.097757032,-0.23988711,0.094349795,-0.276423056,0.075138186
Chrotopterus_auritus,58.10230941,0.352468521,-0.005315785,0.305079685,-0.036454575,0.209829883,-0.076154991,0.166608801,-0.085411988,0.119852885,-0.094032722,-0.045204893,-0.098223586,-0.095526516,-0.086334364,-0.091806229,-0.110540117,-0.198328001,-0.146737898,-0.209429806,-0.113189638,-0.289886549,-0.030528927,-0.126950623,0.148807366,-0.042436964,0.148186504,0.037410175,0.120710541,0.120258892,0.096501122,0.206382406,0.082339509,0.28596002,0.055085469,-0.186366958,0.120341334,-0.238243785,0.080552003,-0.279670945,0.030400743
Hipposideros_armiger,46.22518037,0.351168012,-0.004564146,0.304817567,-0.035366925,0.214855963,-0.083736814,0.152861951,-0.09346189,0.11603437,-0.097706585,-0.042294807,-0.08324288,-0.110586988,-0.066595113,-0.098067168,-0.106555294,-0.213099765,-0.156966185,-0.229619331,-0.121474143,-0.295121028,-0.04479208,-0.112704076,0.147150796,-0.030661859,0.164362492,0.047522084,0.142626933,0.128423555,0.119470684,0.206151227,0.090283651,0.271978831,0.039619238,-0.173178441,0.114835541,-0.220489237,0.064778555,-0.267990862,0.011334165
Hipposideros_caffer,25.24944185,0.347900686,-0.011407099,0.29388563,-0.038152658,0.214281279,-0.086348752,0.169563057,-0.092457589,0.128930001,-0.082976434,-0.008782087,-0.061305605,-0.075801405,-0.043401486,-0.066469308,-0.085641962,-0.209080445,-0.155709491,-0.232686807,-0.114040161,-0.31982916,-0.043881382,-0.116465152,0.140736808,-0.026775662,0.154963455,0.050650374,0.1229997,0.129018991,0.094355943,0.207672582,0.085629693,0.262854548,0.026511829,-0.186002321,0.10607614,-0.252805198,0.065696069,-0.310059604,0.01835298
Hipposideros_commersoni,63.40402758,0.323065472,-0.014291561,0.292094861,-0.050582558,0.20871381,-0.086716452,0.162807511,-0.095537926,0.132340957,-0.097143506,-0.033491345,-0.107306038,-0.088194788,-0.096621211,-0.082158887,-0.126840439,-0.205517513,-0.162566607,-0.214846781,-0.132020643,-0.301274483,-0.03517288,-0.112858538,0.165650044,-0.0253241,0.172526564,0.053140929,0.149321954,0.122610526,0.110450395,0.1973556,0.102744103,0.253849237,0.052672482,-0.176514454,0.134361971,-0.231277799,0.088650547,-0.274520215,0.028421761
Hipposideros_diadema,48.22861533,0.358884124,-0.005016735,0.313757623,-0.033302797,0.211101637,-0.080397132,0.151508363,-0.085484093,0.111797829,-0.090238258,-0.0589288,-0.070386172,-0.113309985,-0.060359157,-0.103932037,-0.098722272,-0.217960514,-0.150325972,-0.233706233,-0.115222444,-0.302974024,-0.047348272,-0.105618213,0.138824256,-0.025077715,0.145330097,0.0512232,0.118263928,0.133371752,0.119958247,0.213157527,0.100528408,0.278708049,0.045508861,-0.165811432,0.103117519,-0.22166886,0.058145307,-0.27452229,0.007126682
Hipposideros_lankadiva,46.9010493,0.348636279,-0.007041156,0.30468434,-0.034881834,0.200514619,-0.085104948,0.148445684,-0.091331696,0.118347841,-0.095259702,-0.067193236,-0.08276726,-0.117925751,-0.075883256,-0.112248202,-0.111361837,-0.218504554,-0.151429424,-0.231044567,-0.115327051,-0.298394858,-0.044228576,-0.096064582,0.140508761,-0.018740161,0.159695429,0.0546046,0.133572769,0.135187035,0.121129412,0.215665917,0.112320312,0.278953757,0.060892837,-0.156177427,0.09957471,-0.217002234,0.057308473,-0.271744499,0.009614038
Hipposideros_pratti,48.09187434,0.342782427,0.002483054,0.316741564,-0.028449686,0.223888429,-0.083334977,0.170171329,-0.094153443,0.136077627,-0.097595386,-0.044548605,-0.094663311,-0.10782586,-0.064399394,-0.10127957,-0.110686903,-0.217163785,-0.144300117,-0.232849938,-0.10731936,-0.298007135,-0.03757562,-0.11113868,0.145680149,-0.0308879,0.151170562,0.04019821,0.113809451,0.117403398,0.08904952,0.198254539,0.094959009,0.268538287,0.059677534,-0.171360311,0.114532518,-0.225699342,0.071714884,-0.273294684,0.019401516
Lasiurus_borealis,23.55289027,0.291705024,0.042315642,0.277836577,-0.015837027,0.224109602,-0.075127788,0.195627978,-0.097374105,0.156876683,-0.128487088,-0.010764168,-0.159690133,-0.082771252,-0.153860481,-0.067883067,-0.198834175,-0.25590671,-0.146979008,-0.252894989,-0.093837614,-0.287557628,0.029015963,-0.108625458,0.123982715,-0.026320227,0.12975266,0.050170392,0.12234849,0.121323377,0.110422409,0.183459145,0.097075738,0.239276382,0.086087646,-0.167581392,0.128751707,-0.218766805,0.116912133,-0.261313463,0.083362317
Macroderma_gigas,59.50776935,0.344909545,-0.00693812,0.306280632,-0.027657494,0.207551846,-0.070662821,0.150850993,-0.084763067,0.115900673,-0.080704841,-0.039780753,-0.098538486,-0.096200363,-0.079463542,-0.087962599,-0.118890117,-0.206464301,-0.151178545,-0.224156896,-0.107314931,-0.284313809,-0.036596531,-0.121224531,0.143667975,-0.031432851,0.147845539,0.052613509,0.133357071,0.129688471,0.097178836,0.211677321,0.074224303,0.287635282,0.050501635,-0.184281661,0.107855017,-0.246776424,0.079472325,-0.284514085,0.028605793
Macrotus_californicus,33.50521116,0.368351864,-0.000719744,0.330762138,-0.021062037,0.189080262,-0.065734179,0.140965332,-0.076671267,0.113224608,-0.077192735,-0.033216589,-0.067165814,-0.090228983,-0.060599806,-0.086268161,-0.114196542,-0.203734616,-0.136068482,-0.223740545,-0.102515271,-0.301831688,-0.037247054,-0.12720851,0.133901569,-0.03861912,0.125337969,0.044938371,0.099823886,0.127153606,0.072488861,0.217352838,0.071065517,0.302776433,0.05444126,-0.19020364,0.108216359,-0.247794512,0.072221976,-0.291759089,0.021675536
