Sp,Csize,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
Balantiopteryx_plicata,16.18218398,0.342056625,0.16306946,0.393585301,0.056034245,0.261654526,-0.014103501,0.131527163,0.006324744,0.114653788,0.158032444,-0.002074028,-0.027507785,-0.089259824,-0.068747742,-0.175764121,-0.076670098,-0.312102375,0.000785388,-0.252584758,0.153577001,-0.307235898,0.030769437,-0.387608497,0.150737944,0.128243999,-0.030502783,0.109102991,-0.06095451,0.073457064,-0.076404813,0.035899622,-0.09120288,-0.003400651,-0.10199557,-0.034861488,-0.102105077,-0.02528944,-0.069135902
Pteronotus_personatus,16.61533446,0.436035344,0.134136383,0.371210034,0.02246305,0.230935608,-0.006148071,0.111520051,0.030134044,0.096096135,0.138684037,-0.007096791,-0.018439189,-0.068892768,-0.055970876,-0.208055169,-0.082963409,-0.316179911,-0.028858521,-0.235522603,0.141180617,-0.311217241,9.35E-05,-0.394313909,0.133517282,0.116512059,-0.010057599,0.107292904,-0.046786148,0.076158841,-0.064498285,0.039272341,-0.073827004,0.00258995,-0.081017464,-0.025434643,-0.080232798,-0.020910234,-0.051409545
Cardioderma_cor,29.12846675,0.331976828,0.141554881,0.392425118,0.048666465,0.262995408,0.010409401,0.13759171,0.016559564,0.157228844,0.140385939,-0.037317652,-0.023078912,-0.101582163,-0.043172271,-0.184414927,-0.056099357,-0.303504174,-0.026459454,-0.246450654,0.143638554,-0.307970272,0.027078395,-0.403696809,0.144462681,0.135094096,-0.021773144,0.116785219,-0.059644884,0.081031003,-0.084391897,0.039585283,-0.096226921,-0.000169157,-0.104364951,-0.033763889,-0.097244788,-0.035843811,-0.060299301
Cheiromeles_torquatus,42.15085498,0.411089202,0.176251102,0.374371282,0.058026395,0.257848338,0.00347,0.140993083,0.007348712,0.058752163,0.159670798,-0.032734599,0.002181263,-0.136861248,-0.029637728,-0.212465459,-0.100129568,-0.307425514,-0.028378364,-0.237794993,0.144926675,-0.295643692,0.026852152,-0.313739929,0.138941841,0.148143709,-0.035733497,0.130240912,-0.073665527,0.087305992,-0.091097678,0.037012752,-0.099488276,-0.014446683,-0.108562383,-0.055833849,-0.100030973,-0.038811468,-0.050944946
Chrotopterus_auritus,42.15634151,0.444551234,0.119658854,0.394285655,0.03634614,0.252572098,-0.006369341,0.131616666,0.015538182,0.046123567,0.127263628,-0.036522868,-0.007118415,-0.110494793,-0.052766857,-0.176837615,-0.066279092,-0.296888506,-0.044710148,-0.229629945,0.130163939,-0.290016721,0.009834572,-0.398599938,0.132156428,0.133052378,-0.014548422,0.114124619,-0.042237309,0.077779027,-0.059432388,0.036600576,-0.071118747,-0.00499796,-0.080621769,-0.041355266,-0.079253739,-0.045362211,-0.046505517
Hipposideros_armiger,35.4395304,0.430725271,0.147442425,0.368424699,0.038766807,0.242473494,0.000454033,0.120577531,-0.001631877,0.134026384,0.139089168,-0.041916149,0.005066713,-0.097493073,-0.049601312,-0.205265225,-0.071165555,-0.289553418,-0.024607,-0.25115998,0.126226242,-0.298852236,0.01278994,-0.396828956,0.116552473,0.125372916,-0.032063036,0.105428988,-0.055564039,0.071629804,-0.070292857,0.03650801,-0.079261188,0.003402733,-0.085743504,-0.025847677,-0.078622623,-0.031653117,-0.037834813
Hipposideros_caffer,19.54455429,0.407772635,0.127298755,0.350807469,0.033678174,0.23294468,-0.000711205,0.125284952,-0.00107466,0.138507457,0.133696505,-0.006925921,-0.015891136,-0.07006882,-0.059713479,-0.210129648,-0.075398412,-0.291117106,-0.018091314,-0.242999592,0.141133951,-0.32023348,0.003011848,-0.439977161,0.137191708,0.127271152,-0.026271028,0.106246498,-0.045285045,0.074401723,-0.060096612,0.040774818,-0.068974541,0.008410917,-0.076379881,-0.017055309,-0.077461337,-0.013915265,-0.050662292
Hipposideros_commersoni,42.22760576,0.327485838,0.140554655,0.394658901,0.014622618,0.262335812,-0.005916463,0.151039491,0.001101641,0.161676447,0.138753412,-0.050175985,0.02768916,-0.110484635,-0.046645485,-0.196849607,-0.051804265,-0.249173542,-0.07902272,-0.270106535,0.139375082,-0.323334771,0.030467376,-0.417736543,0.145867512,0.144710068,-0.029306831,0.119320373,-0.054688938,0.081084306,-0.072150788,0.041251989,-0.08503542,0.003608643,-0.095512914,-0.030327304,-0.086769025,-0.038982945,-0.031578606
Hipposideros_diadema,38.13754866,0.451301622,0.155836108,0.377065461,0.044676005,0.239718023,-0.000911589,0.120139681,-0.00055495,0.134789595,0.142304503,-0.043629025,0.00814479,-0.087162157,-0.064991345,-0.189240636,-0.073384652,-0.276850674,-0.033396776,-0.247161656,0.124678651,-0.300146031,0.017012126,-0.391901729,0.118323921,0.11552937,-0.030681902,0.091053512,-0.053959372,0.05736853,-0.070009195,0.024420001,-0.079485516,-0.006234533,-0.082785105,-0.031808577,-0.08025387,-0.037250777,-0.040561833
Hipposideros_lankadiva,39.09852225,0.457437551,0.158424844,0.384165672,0.049866835,0.237636393,-5.01E-05,0.11602827,-0.001492476,0.132325856,0.144627713,-0.048892868,0.009225448,-0.113802832,-0.044424144,-0.190338815,-0.063553566,-0.2701316,-0.035270391,-0.244935482,0.118991524,-0.291530345,0.013220666,-0.384768857,0.111230787,0.118774094,-0.032944021,0.095278055,-0.05641449,0.061352584,-0.074492583,0.026229656,-0.084410165,-0.006693614,-0.092694119,-0.036388655,-0.082343222,-0.041745062,-0.037498575
Hipposideros_pratti,40.40329809,0.435707326,0.153741661,0.370212193,0.039911563,0.241314731,0.002100165,0.128555044,-0.001524684,0.148330406,0.143806955,-0.041995035,0.008433272,-0.106930658,-0.040637012,-0.193065604,-0.076125377,-0.288359514,-0.031007943,-0.2500789,0.124296728,-0.302142267,0.00523065,-0.385341371,0.117547945,0.123542369,-0.032169087,0.099028034,-0.056064344,0.063390836,-0.070117254,0.028477991,-0.080619136,-0.002979067,-0.091141406,-0.031171096,-0.079810969,-0.03649542,-0.035851728
Lasiurus_borealis,16.36510934,0.321536337,0.161910522,0.368608259,0.011971103,0.257242073,-0.015800773,0.139334342,0.038829868,0.072487234,0.164834285,-0.01541192,-0.034793729,-0.090305234,-0.064042225,-0.187625581,-0.059618759,-0.335127877,-0.008033316,-0.26524473,0.168706244,-0.329708622,0.022912821,-0.357427001,0.160363955,0.150913619,-0.013373782,0.143742206,-0.062130762,0.109334659,-0.089321168,0.061977889,-0.099128676,0.012634399,-0.105595402,-0.027697132,-0.105039612,-0.029262921,-0.072650595
Macroderma_gigas,43.96409054,0.369228714,0.149057982,0.408928464,0.059037529,0.247317897,0.002123182,0.124170807,0.019636063,0.153415807,0.143382417,-0.037444972,-0.009762363,-0.106415355,-0.043766305,-0.17817984,-0.052908818,-0.29493254,-0.0380705,-0.244884076,0.140167028,-0.300970149,0.022792366,-0.383206171,0.135528751,0.128813835,-0.020955822,0.107921981,-0.057352422,0.069700991,-0.081716305,0.027014417,-0.09486336,-0.011345272,-0.110426248,-0.042314348,-0.103270463,-0.036820191,-0.05863271
Macrotus_californicus,25.08161382,0.458292157,0.114782176,0.403939833,0.051830286,0.226759765,-0.004493643,0.11374205,0.016294895,0.069542744,0.12340749,-0.034770288,-0.012703481,-0.079989875,-0.047093841,-0.194364773,-0.064984228,-0.283629406,-0.046050472,-0.227646555,0.128201658,-0.302746513,0.010348107,-0.408184342,0.130926157,0.115231158,-0.017541302,0.101907956,-0.047325912,0.070015331,-0.061366012,0.033785078,-0.069803909,0.000780256,-0.080853515,-0.027282207,-0.076757827,-0.035382368,-0.046816626
Megaderma_lyra,33.15994348,0.388950704,0.137690892,0.387748358,0.056382279,0.251624857,0.002082191,0.132461441,0.00913316,0.135079404,0.137942195,-0.020700779,-0.027495907,-0.101175332,-0.050819822,-0.185042702,-0.053215963,-0.282605168,-0.038361029,-0.25184791,0.139189459,-0.312840346,0.01797829,-0.397537437,0.141892087,0.124391306,-0.022786481,0.102592115,-0.053391843,0.068798815,-0.073514625,0.032848743,-0.085727038,-0.003872214,-0.089811608,-0.035830796,-0.086955977,-0.03304306,-0.060210261
Megaderma_spasma,28.32540217,0.389409194,0.131208878,0.374816471,0.048208217,0.248893599,0.012050315,0.129552632,0.015262759,0.124644148,0.130858565,-0.03674298,-0.027494335,-0.100243089,-0.058819319,-0.185310886,-0.056267858,-0.298512602,-0.019268577,-0.2520069,0.128668077,-0.309375962,0.023731604,-0.400205728,0.144171045,0.135333104,-0.018732473,0.119289499,-0.050552901,0.083681853,-0.070811523,0.043009125,-0.083712678,0.003720943,-0.094399452,-0.030834755,-0.091903246,-0.039117666,-0.0621971
