"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera&cc=ATA,AFR,AUS&show=coords,loc,paleoloc,acconly"
"Access Time","Wed 2017-03-15 02:22:09 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","cc","ATA,AFR,AUS"
"","timerule","major"
"","taxon_status","all"
"","show","coords,loc,paleoloc,acconly"
"Elapsed Time","0.0375"
"Records Found","129"
"Records Returned","129"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate"
"213276","occ","","","21693","Nycteris","genus","103133","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","gp_mid","28.67","-24.60","701"
"213277","occ","","","21693","Taphozous","genus","40637","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","gp_mid","28.67","-24.60","701"
"213278","occ","","","21693","Eptesicus","genus","40671","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","gp_mid","28.67","-24.60","701"
"213292","occ","","","21693","Rhinolophus","genus","40646","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","gp_mid","28.67","-24.60","701"
"213303","occ","","","21693","Pipistrellus","genus","40683","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","gp_mid","28.67","-24.60","701"
"213304","occ","","","21693","Scotophilus","genus","40687","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","gp_mid","28.67","-24.60","701"
"214000","occ","","","21915","Eptesicus","genus","40671","Pleistocene","","2.588","0.0117","5214","23.555300","-27.845800","ZA","","","","4","","7445 km South-southeast of Kuruman in Northern Cape Province of South Africa","gp_mid","23.49","-28.12","701"
"214013","occ","","","21915","Miniopterus","genus","40676","Pleistocene","","2.588","0.0117","5214","23.555300","-27.845800","ZA","","","","4","","7445 km South-southeast of Kuruman in Northern Cape Province of South Africa","gp_mid","23.49","-28.12","701"
"214016","occ","","","21915","Rhinolophus","genus","40646","Pleistocene","","2.588","0.0117","5214","23.555300","-27.845800","ZA","","","","4","","7445 km South-southeast of Kuruman in Northern Cape Province of South Africa","gp_mid","23.49","-28.12","701"
"214137","occ","","","21949","Tadarida","genus","40691","Pleistocene","Holocene","2.588","0","5248","31.983299","-27.016701","ZA","","","","4","","on border between Zululand and Swaziland","gp_mid","31.94","-27.30","701"
