"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"117270","occ","","","41665","Stehlinia","genus","40689","Late Eocene","","37.2","33.9","11154"
"117271","occ","","","41665","Stehlinia gracilis","species","136294","Late Eocene","","37.2","33.9","11154"
"138777","occ","","","11798","Pteropidae","family","95977","Turolian","","8.7","5.333","11436"
"138778","occ","","","11798","Hipposideridae","family","40647","Turolian","","8.7","5.333","11436"
"138779","occ","","","11798","Myotis","genus","40678","Turolian","","8.7","5.333","11436"
"138780","occ","","","11798","Eptesicus","genus","40671","Turolian","","8.7","5.333","11436"
"138781","occ","","","11798","Pipistrellus","genus","40683","Turolian","","8.7","5.333","11436"
"138782","occ","","","11798","Plecotus","genus","40684","Turolian","","8.7","5.333","11436"
"138844","occ","","","11803","Myotis","genus","40678","Late Pleistocene","","0.126","0.0117","10604"
"150079","occ","","","13293","Hipposideros","genus","40649","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"151053","occ","","","13482","Myotis","genus","40678","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151054","occ","","","13482","Vespertilionidae","family","40663","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151076","occ","","","13483","Chiroptera","order","40622","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151124","occ","","","13485","Chiroptera","order","40622","Pliocene","","5.333","2.588","6095"
"166855","occ","","","15081","Icaronycteris","genus","40632","Clarkforkian","","56.8","55.8","1656"
"172621","occ","21642","","15917","Honrovits tsuwape","species","145195","Lostcabinian","","55.8","50.3","1045"
"173336","occ","","","16073","Ageina tobieni","species","149432","Lostcabinian","","55.8","50.3","3329"
"173337","occ","","","16073","Honrovits tsuwape","species","145195","Lostcabinian","","55.8","50.3","1045"
"174083","occ","","","16218","Microchiroptera","suborder","40627","Bridgerian","","50.3","46.2","1441"
"174424","occ","","","16244","Chiroptera","order","40622","Bridgerian","","50.3","46.2","2542"
"175036","occ","","","16396","Ageina","genus","40697","Bridgerian","","50.3","46.2","2182"
"175128","occ","","","16415","Icaronycteris","genus","40632","Bridgerian","","50.3","46.2","3329"
"175404","occ","","","16499","Microchiroptera","suborder","40627","Bridgerian","","50.3","46.2","1115"
"175850","occ","","","16585","Chiroptera","order","40622","Late Uintan","","46.2","40.4","3538"
"176217","occ","","","16626","Wallia scalopidens","species","52692","Late Uintan","","46.2","40.4","3305"
"176222","occ","","","16626","Chiroptera","order","40622","Late Uintan","","46.2","40.4","3305"
"176265","occ","","","16630","Microchiroptera","suborder","40627","Uintan","","46.2","40.4","2536"
"176839","occ","","","16719","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"176950","occ","","","16746","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"176986","occ","","","16748","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177012","occ","","","16751","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177034","occ","","","16752","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177067","occ","","","16762","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3540"
"177124","occ","","","16766","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177431","occ","","","16826","Chiroptera","order","40622","Duchesnean","","40.4","37.2","2335"
"177599","occ","3330","","16845","Wallia scalopidens","species","52692","Duchesnean","","40.4","37.2","3317"
"177604","occ","","","16845","Vespertilionoidea","superfamily","40660","Duchesnean","","40.4","37.2","3306"
"177961","occ","","","16917","Chiroptera","order","40622","Chadronian","","37.2","33.9","2716"
"178007","occ","","","16919","Chiroptera","order","40622","Chadronian","","37.2","33.9","2121"
"178013","occ","","","16919","Wallia","genus","40437","Chadronian","","37.2","33.9","3318"
"178309","occ","","","16941","Chadronycteris rabenae","species","136157","Chadronian","","37.2","33.9","2716"
"178490","occ","","","16961","Chiroptera","order","40622","Chadronian","","37.2","33.9","1442"
"178534","occ","","","16962","Chiroptera","order","40622","Chadronian","","37.2","33.9","1442"
"178579","occ","","","16963","Chiroptera","order","40622","Chadronian","","37.2","33.9","1442"
"178750","occ","","","16979","Wallia","genus","40437","Chadronian","","37.2","33.9","3318"
"178901","occ","","","16991","Chiroptera","order","40622","Chadronian","","37.2","33.9","2743"
"179091","occ","","","17014","Chadronycteris rabenae","species","136157","Chadronian","","37.2","33.9","2716"
"179092","occ","","","17014","Stehlinia","genus","40689","Chadronian","","37.2","33.9","2716"
"179247","occ","","","17033","Chiroptera","order","40622","Chadronian","","37.2","33.9","2716"
