Species	Status	min_age	max_age
Stehlinia	extinct	33.9	37.2
Stehlinia_gracilis	extinct	33.9	37.2
Pteropidae	extinct	5.333	8.7
Hipposideridae	extinct	5.333	8.7
Myotis	extant	5.333	8.7
Eptesicus	extant	5.333	8.7
Pipistrellus	extant	5.333	8.7
Plecotus	extant	5.333	8.7
Myotis	extant	0.0117	0.126
Hipposideros	extant	0.0117	0.781
Myotis	extant	11.608	23.03
Vespertilionidae	extant	11.608	23.03
Chiroptera	extant	5.333	15.97
Chiroptera	extant	2.588	5.333
Icaronycteris	extinct	55.8	56.8
Honrovits_tsuwape	extinct	50.3	55.8
Ageina_tobieni	extinct	50.3	55.8
Honrovits_tsuwape	extinct	50.3	55.8
Microchiroptera	extant	46.2	50.3
Chiroptera	extant	46.2	50.3
Ageina	extinct	46.2	50.3
Icaronycteris	extinct	46.2	50.3
Microchiroptera	extant	46.2	50.3
Chiroptera	extant	40.4	46.2
Wallia_scalopidens	extinct	40.4	46.2
Chiroptera	extant	40.4	46.2
Microchiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	40.4	46.2
Chiroptera	extant	37.2	40.4
Wallia_scalopidens	extinct	37.2	40.4
Vespertilionoidea	extinct	37.2	40.4
Chiroptera	extant	33.9	37.2
Chiroptera	extant	33.9	37.2
Wallia	extinct	33.9	37.2
Chadronycteris_rabenae	extinct	33.9	37.2
Chiroptera	extant	33.9	37.2
Chiroptera	extant	33.9	37.2
Chiroptera	extant	33.9	37.2
Wallia	extinct	33.9	37.2
Chiroptera	extant	33.9	37.2
Chadronycteris_rabenae	extinct	33.9	37.2
Stehlinia	extinct	33.9	37.2
Chiroptera	extant	33.9	37.2
Microchiroptera	extant	33.9	37.2
Oligomyotis	extinct	33.3	33.9
Vespertilionidae	extant	33.3	33.9
Phyllostomatidae	extinct	30.8	33.3
Emballonuridae	extinct	20.43	30.8
Mormoopidae	extinct	20.43	30.8
Vespertilionidae	extant	20.43	30.8
Oligomyotis	extinct	26.3	30.8
Vespertilionidae	extant	24.8	30.8
Vespertilionidae	extant	20.43	24.8
Chiroptera	extant	23.03	28.1
Myotis	extant	15.97	20.43
Potamonycteris_biperforatus	extinct	13.6	15.97
Myotis	extant	13.6	15.97
Vespertilionidae	extant	13.6	15.97
Eptesicus	extant	4.9	10.3
Antrozous	extinct	13.6	15.97
Antrozous_pallidus	extant	4.9	10.3
Chiroptera	extant	13.6	15.97
Vespertilionidae	extant	13.6	15.97
Antrozous	extinct	13.6	15.97
Myotis	extant	10.3	13.6
Lasiurus	extant	10.3	13.6
Vespertilionidae	extant	13.6	15.97
Myotis	extant	10.3	13.6
Myotis_yumanensis	extinct	10.3	13.6
Chiroptera	extant	10.3	13.6
Vespertilionidae	extant	15.97	20.43
