Species	Status
Aegyptonycteris_knightae	extinct
Ageina	extinct
Ageina_tobieni	extinct
Ancenycteris	extinct
Antrozous	extinct
Antrozous_pallidus	extant
Anzanycteris_anzensis	extinct
Archaeonycteridae	extinct
Archaeonycteris	extinct
Archaeonycteris_brailloni	extinct
Archaeonycteris_praecursor	extinct
Archaeonycteris_storchi	extinct
Archaeopteropus_transiens	extinct
Archerops_annectens	extinct
Artibeus	extant
Artibeus_jamaicensis	extant
Asellia_mariaetheresae	extinct
Australonycteris_clarkae	extinct
Balantiopteryx_io	extant
Barbastella	extant
Brachipposideros	extinct
Brachyphylla	extant
Brevipalatus_mcculloughi	extinct
Cambaya_complexus	extinct
Carollia	extant
Cecilionycteris_prisca	extinct
Chadronycteris_rabenae	extinct
Chibanycteris_herberti	extinct
Chiroptera	extant
Chrotopterus_auritus	extant
Cubanycteris_silvai	extant
Cuvierimops	extinct
Desmodus	extant
Desmodus_archaeodaptes	extant
Desmodus_draculae	extant
Desmodus_rotundus	extant
Desmodus_stocki	extant
Dhofarella_sigei	extinct
Dhofarella_thaleri	extinct
Diclidurus	extinct
Dizzya_exsultans	extinct
Eidolon	extant
Emballonuridae	extinct
Eochiroptera	extinct
Eppsinycteris_anglica	extinct
Eptesicus	extant
Eptesicus_aurelianensis	extinct
Eptesicus_campanensis	extinct
Eptesicus_fuscus	extant
Eptesicus_praeglacialis	extant
Eumops	extant
Eumops_glaucinus	extant
Eumops_perotis	extant
Glossophaga	extant
Glossophaginae	extinct
Hassianycteris	extinct
Hassianycteris_kumari	extinct
Hipposideridae	extinct
Hipposideros	extant
Hipposideros_(Brachipposideros)_dechaseauxi	extinct
Hipposideros_(Pseudorhinolophus)_bouziguensis	extinct
Hipposideros_bernardsigei	extinct
Hipposideros_felix	extinct
Hipposideros_morloti	extinct
Hipposideros_omani	extinct
Hipposideros_schlosseri	extinct
Histiotus_stocki	extinct
Honrovits_tsuwape	extinct
Ia	extinct
Icaronycteris	extinct
Icaronycteris_index	extinct
Icaronycteris_menui	extinct
Icaronycteris_sigei	extinct
Jaegeria_cambayensis	extinct
Karstala_silva	extinct
Khonsunycteris_aegypticus	extinct
Kiotomops_lopezi	extinct
Lapichiropteryx	extinct
Lapichiropteryx_xiei	extinct
Lasionycteris_noctivagans	extant
Lasiurus	extant
Lasiurus_borealis	extant
Lasiurus_cinereus	extant
Lasiurus_fossilis	extinct
Lasiurus_golliheri	extant
Lasiurus_intermedius	extant
Lasiurus_seminolus	extinct
Leptonycteris	extant
Leptonycteris_nivalis	extant
Lonchophylla	extant
Lophostoma_silvicolum	extant
Macroderma	extant
Macroderma_koppa	extinct
Macrotus	extant
Matthesia	extinct
Megaderma	extant
Megaderma_franconica	extinct
Megaderma_lugdunensis	extinct
Megaderma_vireti	extinct
Megadermatidae	extinct
Microchiroptera	extant
Microchiropteryx_folieae	extinct
Micronycteris	extant
Miniopterus	extant
Miniopterus_fossilis	extinct
Miomyotis_floridanus	extinct
Miophyllorhina_riversleighensis	extinct
Miostrellus_risgoviensis	extinct
Mixopteryx_dubia	extinct
Mixopteryx_weithoferi	extinct
Molossidae	extinct
Molossops	extant
Molossus	extant
Mops	extant
Mormoopidae	extinct
Mormoops	extant
Mormopterus	extant
Mormopterus_barrancae	extinct
Murina	extant
Myotis	extant
Myotis_austroriparius	extant
Myotis_boyeri	extinct
Myotis_grisescens	extant
Myotis_helleri	extinct
Myotis_keenii	extant
Myotis_leibi	extant
Myotis_lucifugus	extant
Myotis_murinoides	extinct
Myotis_myotis	extant
Myotis_thysanodes	extant
Myotis_velifer	extant
Myotis_yumanensis	extinct
Mystacina	extant
Mystacina_miocenalis	extinct
Mystacinidae	extinct
Natalidae	extinct
Natalus	extant
Necromantis	extinct
Noctilio_albiventris	extant
Noctilio_lacrimaelunaris	extinct
Noctilio_leporinus	extant
Notonycteris_magdalenensis	extinct
Notonycteris_sucharadeus	extinct
Nyctalus	extant
Nycteridae	extant
Nycterididae	extinct
Nycteris	extant
Nycticeius_humeralis	extant
Nyctinomus	extinct
Nyctophilus	extant
Oligomyotis	extinct
Onychonycteris_finneyi	extinct
Palaeochiropterygidae	extinct
Palaeochiropteryx	extinct
Palaeophyllophora	extinct
Palaeophyllophora_oltina	extinct
Palaeophyllophora_quercyi	extinct
Paleptesicus	extinct
