"Honrovits tsuwape","Lostcabinian"
"Ageina tobieni","Lostcabinian"
"Honrovits tsuwape","Lostcabinian"
"Wallia scalopidens","Late Uintan"
"Wallia scalopidens","Duchesnean"
"Chadronycteris rabenae","Chadronian"
"Chadronycteris rabenae","Chadronian"
"Potamonycteris biperforatus","Barstovian"
"Antrozous pallidus","Hemphillian"
"Myotis yumanensis","Clarendonian"
"Suaptenos whitei","Hemingfordian"
"Miomyotis floridanus","Hemingfordian"
"Eumops perotis","Blancan"
"Histiotus stocki","Blancan"
"Antrozous pallidus","Blancan"
"Eptesicus fuscus","Blancan"
"Lasiurus fossilis","Blancan"
"Antrozous pallidus","Blancan"
"Lasiurus fossilis","Blancan"
"Lasiurus fossilis","Blancan"
"Antrozous pallidus","Hemphillian"
"Lasionycteris noctivagans","Blancan"
"Eptesicus fuscus","Blancan"
"Lasiurus borealis","Blancan"
"Antrozous pallidus","Blancan"
"Anzanycteris anzensis","Blancan"
"Anzanycteris anzensis","Blancan"
"Eptesicus fuscus","Irvingtonian"
"Pipistrellus subflavus","Irvingtonian"
"Myotis austroriparius","Irvingtonian"
"Plecotus rafinesquii","Irvingtonian"
"Eptesicus fuscus","Irvingtonian"
"Myotis leibi","Irvingtonian"
"Lasiurus cinereus","Irvingtonian"
"Lasiurus golliheri","Irvingtonian"
"Eptesicus fuscus","Irvingtonian"
"Plecotus alleganiensis","Irvingtonian"
"Desmodus archaeodaptes","Irvingtonian"
"Myotis austroriparius","Irvingtonian"
"Desmodus archaeodaptes","Irvingtonian"
"Myotis austroriparius","Irvingtonian"
"Desmodus archaeodaptes","Blancan"
"Pipistrellus subflavus","Blancan"
"Lasiurus cinereus","Irvingtonian"
"Myotis velifer","Irvingtonian"
"Myotis thysanodes","Irvingtonian"
"Desmodus stocki","Rancholabrean"
"Myotis austroriparius","Rancholabrean"
"Lasiurus borealis","Rancholabrean"
"Lasiurus intermedius","Rancholabrean"
"Tadarida brasiliensis","Rancholabrean"
"Pipistrellus subflavus","Irvingtonian"
"Eptesicus fuscus","Irvingtonian"
"Myotis austroriparius","Late Pleistocene"
"Desmodus stocki","Late Pleistocene"
"Myotis austroriparius","Late Pleistocene"
"Lasiurus intermedius","Late Pleistocene"
"Desmodus stocki","Late Pleistocene"
"Pipistrellus subflavus","Late Pleistocene"
"Lasiurus intermedius","Late Pleistocene"
"Myotis austroriparius","Late Pleistocene"
"Myotis austroriparius","Late Pleistocene"
"Artibeus jamaicensis","Holocene"
"Desmodus rotundus","Holocene"
"Trachops cirrhosus","Holocene"
"Noctilio leporinus","Holocene"
"Noctilio albiventris","Holocene"
"Eumops glaucinus","Holocene"
"Lasiurus borealis","Holocene"
"Karstala silva","Hemingfordian"
"Rhinolophus delphinensis","MN 14"
"Plecotus crassidens","MN 14"
"Rhinolophus ferrumequinum","MN 17"
"Rhinolophus delphinensis","MN 15"
"Rhinolophus grivensis","MN 15"
"Plecotus crassidens","MN 15"
"Myotis helleri","MN 15"
"Rhinolophus grivensis","MN 14"
"Plecotus auritus","Pleistocene"
"Rhinolophus ferrumequinum","Pleistocene"
"Rhinolophus euryale","Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Myotis boyeri","Late Miocene"
"Miniopterus fossilis","Late Miocene"
"Rhinolophus ferrumequinum","Pliocene"
"Eptesicus praeglacialis","Villanyian"
"Rhinolophus ferrumequinum","Villanyian"
"Rhinolophus ferrumequinum","Villanyian"
"Rhinolophus euryale","Villanyian"
"Rhinolophus ferrumequinum","Villanyian"
"Rhinolophus ferrumequinum","Middle Pleistocene"
"Plecotus auritus","Middle Pleistocene"
"Rhinolophus ferrumequinum","Middle Pleistocene"
"Plecotus auritus","Middle Pleistocene"
"Primonatalus prattae","Hemingfordian"
"Plecotus auritus","Early Pleistocene"
"Myotis myotis","Pleistocene"
"Myotis myotis","Pleistocene"
"Rhinolophus grivensis","Pleistocene"
"Rhinolophus grivensis","Burdigalian"
"Hipposideros (Brachipposideros) dechaseauxi","Burdigalian"
"Hipposideros (Pseudorhinolophus) bouziguensis","Burdigalian"
"Asellia mariaetheresae","Burdigalian"
"Icaronycteris index","Wasatchian"
"Eptesicus campanensis","MN 6"
"Myotis lucifugus","Pleistocene"
"Myotis grisescens","Pleistocene"
"Pipistrellus subflavus","Pleistocene"
"Eptesicus fuscus","Pleistocene"
"Rhinolophus ferrumequinum","Early Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Eppsinycteris anglica","Ypresian"
"Rhinolophus ferrumequinum","Middle Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Rhinolophus ferrumequinum","Late Pleistocene"
"Myotis myotis","Late Pleistocene"
"Vespertilio murinus","Late Pleistocene"
"Myotis myotis","Late Pleistocene"
"Myotis myotis","Late Pleistocene"
"Vespertiliavus gracilis","Bartonian"
"Palaeophyllophora quercyi","Bartonian"
"Hipposideros schlosseri","Bartonian"
"Hipposideros schlosseri","Bartonian"
"Cecilionycteris prisca","Lutetian"
"Myotis murinoides","MN 7 + 8"
"Rhinolophus delphinensis","MN 5"
"Eptesicus campanensis","MN 5"
"Hipposideros morloti","Priabonian"
"Hipposideros schlosseri","Priabonian"
"Hipposideros morloti","Priabonian"
"Hipposideros schlosseri","Priabonian"
"Palaeophyllophora quercyi","Priabonian"
"Rhinolophus priscus","Priabonian"
"Hipposideros schlosseri","Priabonian"
"Palaeophyllophora oltina","Priabonian"
"Rhinolophus priscus","Priabonian"
"Vespertiliavus gracilis","Priabonian"
"Stehlinia gracilis","Priabonian"
"Hipposideros morloti","MP 18"
"Rhinolophus priscus","Priabonian"
"Hipposideros schlosseri","Late Eocene"
"Hipposideros morloti","Late Eocene"
"Palaeophyllophora quercyi","Late Eocene"
"Vespertiliavus gracilis","Late Eocene"
"Stehlinia gracilis","Late Eocene"
"Hipposideros morloti","Priabonian"
"Hipposideros schlosseri","Priabonian"
"Rhinolophus priscus","Priabonian"
"Palaeophyllophora oltina","Priabonian"
"Hipposideros morloti","Priabonian"
"Hipposideros schlosseri","Priabonian"
"Rhinolophus priscus","Priabonian"
"Plecotus auritus","Middle Pleistocene"
"Vespertilio murinus","Middle Pleistocene"
"Archerops annectens","Middle Miocene"
"Cambaya complexus","Ypresian"
"Jaegeria cambayensis","Ypresian"
"Shanwangia unexpectata","Astaracian"
"Lophostoma silvicolum","Late Pleistocene"
"Trachops cirrhosus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Antrozous pallidus","Holocene"
"Eumops perotis","Holocene"
"Eptesicus fuscus","Holocene"
"Myotis austroriparius","Late Pleistocene"
"Megaderma vireti","MN 10"
"Rhinolophus grivensis","MN 10"
"Rhinolophus delphinensis","MN 9"
"Rhinolophus grivensis","MN 9"
"Noctilio lacrimaelunaris","Tortonian"
"Megaderma vireti","MN 11"
"Rhinolophus delphinensis","MN 11"
"Rhinolophus grivensis","MN 11"
"Myotis boyeri","MN 11"
"Megaderma vireti","MN 13"
"Rhinolophus delphinensis","MN 13"
"Myotis boyeri","MN 13"
"Rhinolophus ferrumequinum","Early Pleistocene"
"Myotis myotis","Middle Pleistocene"
"Rhinolophus ferrumequinum","Middle Pleistocene"
"Rhinolophus euryale","Middle Pleistocene"
"Megaderma lugdunensis","MN 6"
"Miniopterus fossilis","MN 6"
"Paleptesicus priscus","MN 6"
"Rhinolophus delphinensis","MN 6"
"Rhinolophus grivensis","MN 6"
"Tadarida leptognatha","MN 6"
"Tadarida engesseri","MN 6"
"Megaderma franconica","MN 3"
"Eptesicus aurelianensis","MN 3"
"Rhinolophus dehmi","MN 3"
"Miostrellus risgoviensis","MN 6"
"Eptesicus aurelianensis","MN 4"
"Eumops perotis","Holocene"
"Antrozous pallidus","Late Pleistocene"
"Balantiopteryx io","Late Pleistocene"
"Leptonycteris nivalis","Late Pleistocene"
"Artibeus jamaicensis","Late Pleistocene"
"Tadarida brasiliensis","Late Pleistocene"
"Tadarida laticaudata","Late Pleistocene"
"Tadarida aurispinosa","Late Pleistocene"
"Eumops perotis","Late Pleistocene"
"Chrotopterus auritus","Late Pleistocene"
"Desmodus rotundus","Late Pleistocene"
"Desmodus draculae","Late Pleistocene"
"Tadarida brasiliensis","Late Pleistocene"
"Eumops perotis","Holocene"
"Desmodus rotundus","Late Pleistocene"
"Plecotus tetralophodon","Late Pleistocene"
"Icaronycteris sigei","Ypresian"
"Archaeonycteris storchi","Ypresian"
"Eptesicus praeglacialis","Early Pleistocene"
"Plecotus crassidens","Early Pleistocene"
"Eptesicus fuscus","Pleistocene"
"Eumops glaucinus","Late Pleistocene"
"Myotis lucifugus","Late Pleistocene"
"Myotis velifer","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Myotis velifer","Holocene"
"Pipistrellus hesperus","Holocene"
"Antrozous pallidus","Holocene"
"Tadarida brasiliensis","Holocene"
"Desmodus stocki","Late Pleistocene"
"Myotis thysanodes","Late Pleistocene"
"Tachypteron franzeni","MP 11"
"Myotis velifer","Late Pleistocene"
"Antrozous pallidus","Late Pleistocene"
"Tadarida brasiliensis","Late Pleistocene"
"Desmodus stocki","Late Pleistocene"
"Myotis lucifugus","Late Pleistocene"
"Myotis velifer","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Antrozous pallidus","Late Pleistocene"
"Tadarida brasiliensis","Late Pleistocene"
"Cubanycteris silvai","Late Pleistocene"
"Artibeus jamaicensis","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Antrozous pallidus","Late Pleistocene"
"Lasiurus borealis","Late Pleistocene"
"Lasiurus intermedius","Late Pleistocene"
"Onychonycteris finneyi","Lostcabinian"
"Myotis grisescens","Pleistocene"
"Myotis grisescens","Pleistocene"
"Myotis grisescens","Pleistocene"
"Myotis keenii","Pleistocene"
"Pipistrellus subflavus","Pleistocene"
"Eptesicus fuscus","Pleistocene"
"Myotis grisescens","Irvingtonian"
"Myotis lucifugus","Late Pleistocene"
"Eptesicus fuscus","Late Pleistocene"
"Nycticeius humeralis","Late Pleistocene"
"Tanzanycteris mannardi","Lutetian"
"Archaeopteropus transiens","Early Oligocene"
"Tadarida rusingae","Burdigalian"
"Xenorhinos halli","Early Miocene"
"Brevipalatus mcculloughi","Early Miocene"
"Riversleigha williamsi","Early Miocene"
"Philisis sphingis","Rupelian"
"Witwatia schlosseri","Priabonian"
"Witwatia eremicus","Priabonian"
"Qarunycteris moerisae","Priabonian"
"Dhofarella sigei","Rupelian"
"Saharaderma pseudovampyrus","Rupelian"
"Khonsunycteris aegypticus","Rupelian"
