Genus,Species
Acerodon,celebensis
Acerodon,humilis
Acerodon,jubatus
Acerodon,leucotis
Acerodon,mackloti
Aethalops,aequalis
Aethalops,alecto
Alionycteris,paucidentata
Ametrida,centurio
Amorphochilus,schnablii
Anoura,caudifer
Anoura,cultrata
Anoura,fistulata
Anoura,geoffroyi
Anoura,latidens
Anoura,luismanueli
Anthops,ornatus
Antrozous,pallidus
Aproteles,bulmerae
Ardops,nichollsi
Arielulus,aureocollaris
Arielulus,circumdatus
Arielulus,cuprosus
Arielulus,societatis
Arielulus,torquatus
Ariteus,flavescens
Artibeus,amplus
Artibeus,concolor
Artibeus,fimbriatus
Artibeus,fraterculus
Artibeus,hirsutus
Artibeus,inopinatus
Artibeus,jamaicensis
Artibeus,lituratus
Artibeus,obscurus
Artibeus,planirostris
Artibeus,schwartzi
Asellia,patrizii
Asellia,tridens
Aselliscus,stoliczkanus
Aselliscus,tricuspidatus
Austronomus,australis
Austronomus,kuboriensis
Balantiopteryx,infusca
Balantiopteryx,io
Balantiopteryx,plicata
Balionycteris,maculata
Barbastella,barbastellus
Barbastella,leucomelas
Bauerus,dubiaquercus
Brachyphylla,cavernarum
Brachyphylla,nana
Cardioderma,cor
Carollia,brevicauda
Carollia,castanea
Carollia,manu
Carollia,perspicillata
Carollia,sowelli
Carollia,subrufa
Casinycteris,argynnis
Centronycteris,centralis
Centronycteris,maximiliani
Centurio,senex
Chaerephon,aloysiisabaudiae
Chaerephon,ansorgei
Chaerephon,bemmeleni
Chaerephon,bivittatus
Chaerephon,bregullae
Chaerephon,chapini
Chaerephon,gallagheri
Chaerephon,jobensis
Chaerephon,jobimena
Chaerephon,johorensis
Chaerephon,major
Chaerephon,nigeriae
Chaerephon,plicatus
Chaerephon,pumilus
Chaerephon,russatus
Chaerephon,solomonis
Chaerephon,tomensis
Chalinolobus,dwyeri
Chalinolobus,gouldii
Chalinolobus,morio
Chalinolobus,neocaledonicus
Chalinolobus,nigrogriseus
Chalinolobus,picatus
Chalinolobus,tuberculatus
Cheiromeles,parvidens
Cheiromeles,torquatus
Chilonatalus,micropus
Chilonatalus,tumidifrons
Chiroderma,doriae
Chiroderma,improvisum
Chiroderma,salvini
Chiroderma,trinitatum
Chiroderma,villosum
Chironax,melanocephalus
Choeroniscus,godmani
Choeroniscus,minor
Choeroniscus,periosus
Choeronycteris,mexicana
