"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera"
"Access Time","Thu 2017-02-16 07:22:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0726"
"Records Found","1220"
"Records Returned","1220"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"117270","occ","","","41665","Stehlinia cf. minor","species","40689","species not entered","Stehlinia","genus","40689","Late Eocene","","37.2","33.9","11154"
"117271","occ","","","41665","Stehlinia cf. gracilis","species","136294","","Stehlinia gracilis","species","136294","Late Eocene","","37.2","33.9","11154"
"138777","occ","","","11798","Pteropidae indet.","family","95977","","Pteropidae","family","95977","Turolian","","8.7","5.333","11436"
"138778","occ","","","11798","Hipposideridae indet.","family","40647","","Hipposideridae","family","40647","Turolian","","8.7","5.333","11436"
"138779","occ","","","11798","Myotis sp.","genus","40678","","Myotis","genus","40678","Turolian","","8.7","5.333","11436"
"138780","occ","","","11798","Eptesicus sp.","genus","40671","","Eptesicus","genus","40671","Turolian","","8.7","5.333","11436"
"138781","occ","","","11798","Pipistrellus sp.","genus","40683","","Pipistrellus","genus","40683","Turolian","","8.7","5.333","11436"
"138782","occ","","","11798","Plecotus sp.","genus","40684","","Plecotus","genus","40684","Turolian","","8.7","5.333","11436"
"138844","occ","","","11803","Myotis cf. baranensis","species","40678","species not entered","Myotis","genus","40678","Late Pleistocene","","0.126","0.0117","10604"
"150079","occ","","","13293","Hipposideros sp.","genus","40649","","Hipposideros","genus","40649","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"151053","occ","","","13482","Myotis sp.","genus","40678","","Myotis","genus","40678","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151054","occ","","","13482","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151076","occ","","","13483","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151124","occ","","","13485","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Pliocene","","5.333","2.588","6095"
"166855","occ","","","15081","cf. Icaronycteris sp.","genus","40632","","Icaronycteris","genus","40632","Clarkforkian","","56.8","55.8","1656"
"172621","occ","21642","","15917","n. gen. Honrovits n. sp. tsuwape","species","145195","","Honrovits tsuwape","species","145195","Lostcabinian","","55.8","50.3","1045"
"173336","occ","","","16073","Ageina tobieni","species","149432","","Ageina tobieni","species","149432","Lostcabinian","","55.8","50.3","3329"
"173337","occ","","","16073","Honrovits tsuwape","species","145195","","Honrovits tsuwape","species","145195","Lostcabinian","","55.8","50.3","1045"
"174083","occ","","","16218","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Bridgerian","","50.3","46.2","1441"
"174424","occ","","","16244","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Bridgerian","","50.3","46.2","2542"
"175036","occ","","","16396","cf. Ageina sp.","genus","40697","","Ageina","genus","40697","Bridgerian","","50.3","46.2","2182"
"175128","occ","","","16415","Icaronycteris ? sp.","genus","40632","","Icaronycteris","genus","40632","Bridgerian","","50.3","46.2","3329"
"175404","occ","","","16499","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Bridgerian","","50.3","46.2","1115"
"175850","occ","","","16585","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Late Uintan","","46.2","40.4","3538"
"176217","occ","","","16626","Wallia scalopidens","species","52692","","Wallia scalopidens","species","52692","Late Uintan","","46.2","40.4","3305"
"176222","occ","","","16626","Chiroptera informal indet. sp. 1","species","40622","species not entered","Chiroptera","order","40622","Late Uintan","","46.2","40.4","3305"
"176265","occ","","","16630","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Uintan","","46.2","40.4","2536"
"176839","occ","","","16719","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"176950","occ","","","16746","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"176986","occ","","","16748","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177012","occ","","","16751","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177034","occ","","","16752","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177067","occ","","","16762","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3540"
"177124","occ","","","16766","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Uintan","","46.2","40.4","3538"
"177431","occ","","","16826","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Duchesnean","","40.4","37.2","2335"
"177599","occ","3330","","16845","Wallia scalopidens","species","52692","","Wallia scalopidens","species","52692","Duchesnean","","40.4","37.2","3317"
"177604","occ","","","16845","Vespertilionoidea indet.","superfamily","40660","","Vespertilionoidea","superfamily","40660","Duchesnean","","40.4","37.2","3306"
"177961","occ","","","16917","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","2716"
"178007","occ","","","16919","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","2121"
"178013","occ","","","16919","Wallia sp.","genus","40437","","Wallia","genus","40437","Chadronian","","37.2","33.9","3318"
"178309","occ","","","16941","Chadronycteris rabenae","species","136157","","Chadronycteris rabenae","species","136157","Chadronian","","37.2","33.9","2716"
"178490","occ","","","16961","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","1442"
"178534","occ","","","16962","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","1442"
"178579","occ","","","16963","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","1442"
"178750","occ","","","16979","Wallia sp.","genus","40437","","Wallia","genus","40437","Chadronian","","37.2","33.9","3318"
"178901","occ","","","16991","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","2743"
"179091","occ","","","17014","Chadronycteris n. sp. rabenae","species","136157","","Chadronycteris rabenae","species","136157","Chadronian","","37.2","33.9","2716"
"179092","occ","","","17014","Stehlinia ? sp.","genus","40689","","Stehlinia","genus","40689","Chadronian","","37.2","33.9","2716"
"179247","occ","","","17033","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chadronian","","37.2","33.9","2716"
"179317","occ","","","17045","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Chadronian","","37.2","33.9","2079"
"179489","occ","","","17082","Oligomyotis casementi","species","40681","species not entered","Oligomyotis","genus","40681","Orellan","","33.9","33.3","1574"
"179554","occ","","","17090","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Orellan","","33.9","33.3","3359"
"180829","occ","10034","","17341","Phyllostomatidae indet.","family","40654","","Phyllostomatidae","family","40654","Whitneyan","","33.3","30.8","7290"
"181298","occ","","","17476","Emballonuridae indet.","family","40636","","Emballonuridae","family","40636","Arikareean","","30.8","20.43","4229"
"181299","occ","","","17476","Mormoopidae indet.","family","66293","","Mormoopidae","family","66293","Arikareean","","30.8","20.43","4229"
"181300","occ","","","17476","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Arikareean","","30.8","20.43","4229"
"182491","occ","19059","","17709","Oligomyotis sp.","genus","40681","","Oligomyotis","genus","40681","Geringian","","30.8","26.3","19303"
"182544","occ","","","17726","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Geringian","Monroecreekian","30.8","24.8","936"
"183070","occ","","","17837","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Harrisonian","","24.8","20.43","936"
"183183","occ","10417","","17860","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Chattian","","28.1","23.03","9613"
"183333","occ","19138","","17889","cf. Myotis sp.","genus","40678","","Myotis","genus","40678","Late Hemingfordian","","20.43","15.97","19303"
