"Stehlinia cf. minor","Late Eocene"
"Myotis sp.","Turolian"
"Eptesicus sp.","Turolian"
"Pipistrellus sp.","Turolian"
"Plecotus sp.","Turolian"
"Myotis cf. baranensis","Late Pleistocene"
"Hipposideros sp.","Middle Pleistocene"
"Myotis sp.","Early Miocene"
"cf. Icaronycteris sp.","Clarkforkian"
"cf. Ageina sp.","Bridgerian"
"Icaronycteris ? sp.","Bridgerian"
"Wallia sp.","Chadronian"
"Wallia sp.","Chadronian"
"Stehlinia ? sp.","Chadronian"
"Oligomyotis casementi","Orellan"
"Oligomyotis sp.","Geringian"
"cf. Myotis sp.","Late Hemingfordian"
"cf. Myotis sp.","Barstovian"
"Eptesicus n. sp. hemphillensis","Hemphillian"
"cf. Antrozous sp.","Barstovian"
"cf. Antrozous sp.","Barstovian"
"Myotis sp.","Clarendonian"
"Lasiurus sp.","Late Clarendonian"
"Myotis sp.","Clarendonian"
"Antrozous sp.","Miocene"
"Antrozous sp.","Miocene"
"Plionycteris russelli","Late Hemphillian"
"Ancenycteris rasmusseni","Early Barstovian"
"cf. Myotis sp.","Hemphillian"
"Myotis sp.","Blancan"
"Lasiurus cf. blossevillii","Blancan"
"Tadarida sp.","Blancan"
"Lasiurus sp.","Blancan"
"Myotis sp.","Hemphillian"
"Antrozous sp.","Blancan"
"Myotis sp.","Blancan"
"Myotis sp.","Irvingtonian"
"Antrozous sp.","Blancan"
"Eptesicus sp.","Blancan"
"Lasiurus sp.","Blancan"
"Myotis sp.","Blancan"
"Plecotus sp.","Blancan"
"Myotis sp.","Irvingtonian"
"Lasiurus sp.","Irvingtonian"
"Plecotus sp.","Irvingtonian"
"Mormoops megalophylla","Late Pleistocene"
"Eumops dabbenei","Holocene"
"Eumops hansae","Holocene"
"Molossops greenhalli","Holocene"
"Molossus molossus","Holocene"
"Carollia perspicillata","Holocene"
"Glossophaga longirostris","Holocene"
"Glossophaga soricina","Holocene"
"Micronycteris nicefori","Holocene"
"Phyllostomus discolor","Holocene"
"Phyllostomus hastatus","Holocene"
"Sturnira lilium","Holocene"
"Sturnira ludovici","Holocene"
"Eptesicus furinalis","Holocene"
"Lasiurus ega","Holocene"
"Myotis nigricans","Holocene"
"Rhogeessa tumida","Holocene"
"Rhynchonycteris naso","Holocene"
"Micronycteris minuta","Holocene"
"Micronycteris megalotis","Holocene"
"Tonatia minuta","Holocene"
"Tonatia venezuelae","Holocene"
"Phyllostomus elongatus","Holocene"
"Myotis albescens","Holocene"
"Molossops terminekii","Holocene"
"Molossus pretiosus","Holocene"
"Eumops bonariensis","Holocene"
"Eumops auripendulus","Holocene"
"Nycteris thebaica","Holocene"
"Taphozous mauritianus","Holocene"
"Eptesicus capensis","Holocene"
"Rhinolophus clivosus","Holocene"
"Pipistrellus kuhli","Holocene"
"Scotophilus nigrita","Holocene"
"Eptesicus capensis","Pleistocene"
"Miniopterus schreibersi","Pleistocene"
"Rhinolophus capensis","Pleistocene"
"Tadarida sp.","Pleistocene"
"Nycteris thebaica","Pleistocene"
"Eptesicus capensis","Pleistocene"
"Eptesicus hottentotus","Pleistocene"
"Scotophilus dinganii","Pleistocene"
"Rhinolophus clivosus","Pleistocene"
"Rhinolophus hildebrandtii","Pleistocene"
"Miniopterus schreibersi","Pleistocene"
"Myotis tricolor","Pleistocene"
"Hipposideros commersoni","Holocene"
"Archaeonycteris trigonodon","MP 11"
"Palaeochiropteryx tupaiodon","MP 11"
"Tadarida sp.","Holocene"
"Rhinolophus cf. capensis","Pliocene"
"Eptesicus cf. hottentotus","Pliocene"
"Myotis cf. tricolor","Pliocene"
"Myotis cf. welwitschii","Pliocene"
"Nycteris sp.","Pliocene"
"Eptesicus cf. hottentotus","Pliocene"
"Rhinolophus cf. darlingi","Pliocene"
"Rhinolophus cf. clivosus","Pliocene"
"Eptesicus cf. bottae","Pliocene"
"Miniopterus sp.","Pliocene"
"Eptesicus cf. hottentotus","Pliocene"
"Rhinolophus cf. darlingi","Pliocene"
"Rhinolophus cf. clivosus","Pliocene"
"Eptesicus cf. bottae","Pliocene"
"Miniopterus sp.","Pliocene"
"Rhinolophus cf. darlingi","Pliocene"
"Scotophilus sp.","Pliocene"
"Nycteris sp.","Pliocene"
"Taphozous abitus","Gelasian"
"Hipposideros kaumbului","Gelasian"
"Taphozous abitus","Late Pliocene"
"Eidolon cf. helvum","Late Pliocene"
"Hipposideros cf. cyclops","Late Pliocene"
"Hipposideros cf. camerunensis","Late Pliocene"
"Rousettus aegyptiacus","Holocene"
"Miniopterus schreibersi","Holocene"
"Rousettus angolensis","Holocene"
"Rousettus sp.","Holocene"
"Rousettus aegyptiacus","Pleistocene"
"Rousettus angolensis","Pleistocene"
"Rousettus sp.","Pleistocene"
"cf. Eptesicus sp.","Late Hemphillian"
"Myotis sp.","Late Hemphillian"
"Rhinolophus sp.","Ruscinian"
"Myotis baranensis","Ruscinian"
"Plecotus ? sp.","Ruscinian"
"Myotis n. sp. kretzoii","Middle Pleistocene"
"Myotis sp.","Middle Pleistocene"
"Miniopterus schreibersi","MN 14"
"Myotis n. sp. podlesicensis","MN 14"
"Myotis cf. aemulus","MN 14"
"Myotis dasycneme","MN 14"
"Myotis cf. exilis","MN 17"
"Myotis sp.","MN 17"
"Myotis n. sp. danutae","MN 14"
"Myotis cf. exilis","MN 14"
"Myotis podlesicensis","MN 15"
"Myotis cf. aemulus","MN 15"
"Myotis danutae","MN 15"
"Myotis cf. exilis","MN 15"
"Myotis bechsteini","Pleistocene"
"Myotis dasycneme","Pleistocene"
"Myotis emarginatus","Pleistocene"
"Myotis nattereri","Pleistocene"
"Myotis cf. mystacinus","Pleistocene"
"Myotis sp.","Pleistocene"
"Myotis sp.","Middle Pleistocene"
"Myotis sp.","Pleistocene"
"Rhinolophus sp.","Pleistocene"
"Miniopterus schreibersii","Pleistocene"
"Myotis sp.","Pleistocene"
"Rhinolophus sp.","Pleistocene"
"Miniopterus schreibersii","Pleistocene"
"Myotis sp.","Early Pleistocene"
"Rhinolophus cf. mehelyi","Early Pleistocene"
"Miniopterus sp.","Early Pleistocene"
"Rhinolophus sp.","Late Miocene"
"Myotis sp.","Late Miocene"
"Tadarida sp.","Late Miocene"
