"Stehlinia cf. minor","Late Eocene"
"Stehlinia cf. gracilis","Late Eocene"
"Myotis cf. baranensis","Late Pleistocene"
"n. gen. Honrovits n. sp. tsuwape","Lostcabinian"
"Ageina tobieni","Lostcabinian"
"Honrovits tsuwape","Lostcabinian"
"Wallia scalopidens","Late Uintan"
"Chiroptera informal indet. sp. 1","Late Uintan"
"Wallia scalopidens","Duchesnean"
"Chadronycteris rabenae","Chadronian"
"Chadronycteris n. sp. rabenae","Chadronian"
"Oligomyotis casementi","Orellan"
"n. gen. Potamonycteris n. sp. biperforatus","Barstovian"
"Eptesicus n. sp. hemphillensis","Hemphillian"
"Antrozous pallidus","Hemphillian"
"Myotis cf. yumanensis","Clarendonian"
"n. gen. Suaptenos n. sp. whitei","Hemingfordian"
"n. gen. Miomyotis n. sp. floridanus","Hemingfordian"
"Plionycteris russelli","Late Hemphillian"
"Ancenycteris rasmusseni","Early Barstovian"
"Lasiurus cf. blossevillii","Blancan"
"Eumops cf. perotis","Blancan"
"Histiotus stocki","Blancan"
"Antrozous pallidus","Blancan"
"Eptesicus cf. fuscus","Blancan"
"Lasiurus fossilis","Blancan"
"Antrozous pallidus","Blancan"
"Lasiurus n. sp. fossilis","Blancan"
"Lasiurus fossilis","Blancan"
"Antrozous pallidus","Hemphillian"
"Lasionycteris noctivagans","Blancan"
"Eptesicus fuscus","Blancan"
"Lasiurus borealis","Blancan"
"Antrozous pallidus","Blancan"
"Anzanycteris anzensis","Blancan"
"Anzanycteris anzensis","Blancan"
"Eptesicus fuscus","Irvingtonian"
"Pipistrellus subflavus","Irvingtonian"
"Myotis cf. austroriparius","Irvingtonian"
"Plecotus rafinesquii","Irvingtonian"
"Eptesicus fuscus","Irvingtonian"
"Myotis leibi","Irvingtonian"
"Lasiurus cinereus","Irvingtonian"
"Dasypterus n. sp. golliheri","Irvingtonian"
"Eptesicus cf. fuscus","Irvingtonian"
"Plecotus alleganiensis","Irvingtonian"
"Desmodus archaeodaptes","Irvingtonian"
"Myotis austroriparius","Irvingtonian"
"Desmodus archaeodaptes","Irvingtonian"
"Myotis austroriparius","Irvingtonian"
"Desmodus archaeodaptes","Blancan"
"Pipistrellus subflavus","Blancan"
"Lasiurus cinereus","Irvingtonian"
"Myotis velifer","Irvingtonian"
"Myotis thysanodes","Irvingtonian"
"Desmodus stocki","Rancholabrean"
"Myotis austroriparius","Rancholabrean"
"Lasiurus borealis","Rancholabrean"
"Lasiurus intermedius","Rancholabrean"
"Tadarida brasiliensis","Rancholabrean"
"Pipistrellus subflavus","Irvingtonian"
"Eptesicus fuscus","Irvingtonian"
"Myotis austroriparius","Late Pleistocene"
"Desmodus stocki","Late Pleistocene"
"Myotis austroriparius","Late Pleistocene"
"Lasiurus intermedius","Late Pleistocene"
"Desmodus magnus","Late Pleistocene"
"Pipistrellus subflavus","Late Pleistocene"
"Lasiurus intermedius","Late Pleistocene"
"Myotis austroriparius","Late Pleistocene"
"Myotis austroriparius","Late Pleistocene"
"Mormoops megalophylla","Late Pleistocene"
"Eumops dabbenei","Holocene"
"Eumops hansae","Holocene"
"Molossops greenhalli","Holocene"
"Molossus molossus","Holocene"
"Artibeus jamaicensis","Holocene"
"Carollia perspicillata","Holocene"
"Desmodus rotundus","Holocene"
"Glossophaga longirostris","Holocene"
"Glossophaga soricina","Holocene"
"Micronycteris nicefori","Holocene"
"Phyllostomus discolor","Holocene"
"Phyllostomus hastatus","Holocene"
"Sturnira lilium","Holocene"
"Sturnira ludovici","Holocene"
"Trachops cirrhosus","Holocene"
"Eptesicus furinalis","Holocene"
"Lasiurus ega","Holocene"
"Myotis nigricans","Holocene"
"Rhogeessa tumida","Holocene"
"Rhynchonycteris naso","Holocene"
"Noctilio leporinus","Holocene"
"Noctilio albiventris","Holocene"
"Micronycteris minuta","Holocene"
"Micronycteris megalotis","Holocene"
"Tonatia minuta","Holocene"
"Tonatia venezuelae","Holocene"
"Phyllostomus elongatus","Holocene"
"Myotis albescens","Holocene"
"Molossops terminekii","Holocene"
"Molossus pretiosus","Holocene"
"Eumops bonariensis","Holocene"
"Eumops glaucinus","Holocene"
"Eumops auripendulus","Holocene"
"Lasiurus borealis","Holocene"
"Nycteris thebaica","Holocene"
"Taphozous mauritianus","Holocene"
"Eptesicus capensis","Holocene"
"Rhinolophus clivosus","Holocene"
"Pipistrellus kuhli","Holocene"
"Scotophilus nigrita","Holocene"
"Eptesicus capensis","Pleistocene"
"Miniopterus schreibersi","Pleistocene"
"Rhinolophus capensis","Pleistocene"
"Nycteris thebaica","Pleistocene"
"Eptesicus capensis","Pleistocene"
"Eptesicus hottentotus","Pleistocene"
"Scotophilus dinganii","Pleistocene"
"Rhinolophus clivosus","Pleistocene"
"Rhinolophus hildebrandtii","Pleistocene"
"Miniopterus schreibersi","Pleistocene"
"Myotis tricolor","Pleistocene"
"Hipposideros commersoni","Holocene"
"Archaeonycteris trigonodon","MP 11"
"Palaeochiropteryx tupaiodon","MP 11"
"Rhinolophus cf. capensis","Pliocene"
"Eptesicus cf. hottentotus","Pliocene"
"Myotis cf. tricolor","Pliocene"
"Myotis cf. welwitschii","Pliocene"
"Eptesicus cf. hottentotus","Pliocene"
"Rhinolophus cf. darlingi","Pliocene"
"Rhinolophus cf. clivosus","Pliocene"
"Eptesicus cf. bottae","Pliocene"
"Eptesicus cf. hottentotus","Pliocene"
"Rhinolophus cf. darlingi","Pliocene"
"Rhinolophus cf. clivosus","Pliocene"
"Eptesicus cf. bottae","Pliocene"
"Rhinolophus cf. darlingi","Pliocene"
"Taphozous abitus","Gelasian"
"Hipposideros kaumbului","Gelasian"
"Taphozous abitus","Late Pliocene"
"Eidolon cf. helvum","Late Pliocene"
"Hipposideros cf. cyclops","Late Pliocene"
"Hipposideros cf. camerunensis","Late Pliocene"
"Rousettus aegyptiacus","Holocene"
"Miniopterus schreibersi","Holocene"
"Rousettus angolensis","Holocene"
"Rousettus aegyptiacus","Pleistocene"
"Rousettus angolensis","Pleistocene"
"n. gen. Karstala n. sp. silva","Hemingfordian"
"Myotis baranensis","Ruscinian"
"Myotis n. sp. kretzoii","Middle Pleistocene"
"Rhinolophus delphinensis","MN 14"
"Miniopterus schreibersi","MN 14"
"Plecotus crassidens","MN 14"
"Myotis n. sp. podlesicensis","MN 14"
"Myotis cf. aemulus","MN 14"
"Myotis dasycneme","MN 14"
"Rhinolophus cf. ferrumequinum","MN 17"
"Myotis cf. exilis","MN 17"
"Myotis n. sp. danutae","MN 14"
"Myotis cf. exilis","MN 14"
"Rhinolophus delphinensis","MN 15"
"Rhinolophus grivensis","MN 15"
"Plecotus crassidens","MN 15"
"Myotis podlesicensis","MN 15"
"Myotis cf. aemulus","MN 15"
"Myotis danutae","MN 15"
"Myotis cf. exilis","MN 15"
"Myotis n. sp. helleri","MN 15"
"Rhinolophus grivensis","MN 14"
"Myotis bechsteini","Pleistocene"
"Myotis dasycneme","Pleistocene"
"Myotis emarginatus","Pleistocene"
"Myotis nattereri","Pleistocene"
"Myotis cf. mystacinus","Pleistocene"
"Plecotus cf. auritus","Pleistocene"
"Rhinolophus ferrumequinum","Pleistocene"
"Rhinolophus aff. euryale","Pleistocene"
"Miniopterus schreibersii","Pleistocene"
"Miniopterus schreibersii","Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Rhinolophus cf. mehelyi","Early Pleistocene"
"Myotis cf. boyeri","Late Miocene"
"Miniopterus cf. fossilis","Late Miocene"
"Rhinolophus aff. ferrumequinum","Pliocene"
"Myotis baranensis","Villanyian"
"Myotis steiningeri","Villanyian"
"Myotis schaubi","Villanyian"
"Myotis wuesti","Villanyian"
"Vespertilio majori","Villanyian"
"Eptesicus praeglacialis","Villanyian"
"Rhinolophus aff. ferrumequinum","Villanyian"
"Rhinolophus cf. ferrumequinum","Villanyian"
"Rhinolophus euryale","Villanyian"
"Myotis cf. schaubi","Villanyian"
"Myotis cf. dasycneme","Villanyian"
"Rhinolophus cf. ferrumequinum","Villanyian"
"Myotis cf. dasycneme","Early Pleistocene"
"Myotis cf. gundersheimensis","Early Pleistocene"
"Myotis cf. schaubi","Early Pleistocene"
"Myotis cf. daubentoni","Early Pleistocene"
"Myotis wuesti","Early Pleistocene"
"Myotis emarginatus","Early Pleistocene"
"Myotis dasycneme","Early Pleistocene"
"Myotis cf. wuesti","Early Pleistocene"
"Rhinolophus cf. ferrumequinum","Middle Pleistocene"
"Myotis cf. mystacinus","Middle Pleistocene"
"Myotis bechsteini","Middle Pleistocene"
"Myotis cf. gundersheimensis","Middle Pleistocene"
"Myotis baranensis","Middle Pleistocene"
"Myotis cf. delicatus","Middle Pleistocene"
"Myotis dasycneme","Middle Pleistocene"
"Eptesicus cf. nilssonii","Middle Pleistocene"
"Barbastella cf. leucomelas","Middle Pleistocene"
"Plecotus auritus","Middle Pleistocene"
"Rhinolophus cf. ferrumequinum","Middle Pleistocene"
"Rhinolophus cf. hipposideros","Middle Pleistocene"
"Rhinolophus cf. mehelyi","Middle Pleistocene"
"Myotis cf. oxygnathus","Middle Pleistocene"
"Myotis cf. daubentoni","Middle Pleistocene"
"Myotis cf. dasycneme","Middle Pleistocene"
"Myotis cf. mystacinus","Middle Pleistocene"
"Myotis cf. emarginatus","Middle Pleistocene"
"Myotis cf. bechsteini","Middle Pleistocene"
"Myotis nattereri","Middle Pleistocene"
"Myotis cf. brandti","Middle Pleistocene"
"Myotis cf. frater","Middle Pleistocene"
"Myotis baranensis","Middle Pleistocene"
"Myotis schaubi","Middle Pleistocene"
"Plecotus auritus","Middle Pleistocene"
"Barbastella barbastellus","Middle Pleistocene"
"Miniopterus cf. schreibersi","Middle Pleistocene"
"n. gen. Primonatalus n. sp. prattae","Hemingfordian"
"Myotis bechsteini","Early Pleistocene"
"Myotis schaubi","Early Pleistocene"
"Myotis cf. nattereri","Early Pleistocene"
"Plecotus auritus","Early Pleistocene"
"Myotis dasycneme","Middle Pleistocene"
"Myotis cf. mystacinus","Middle Pleistocene"
"Myotis myotis","Pleistocene"
"Myotis myotis","Pleistocene"
"Vespertiliavus lapradensis","MP 13"
"Necromantis cf. adichaster","MP 13"
"Stehlinia ruetimeyeri","MP 13"
"Stehlinia cf. pusilla","MP 13"
"Rhinolophus cf. grivensis","Pleistocene"
"Rhinolophus cf. grivensis","Burdigalian"
"Hipposideros dechaseauxi","Burdigalian"
"Hipposideros bouziguensis","Burdigalian"
"Asellia mariaetheresae","Burdigalian"
"Tadarida helveticus","Burdigalian"
"Myotis aff. misonnei","MP 24"
"n. gen. Icaronycteris n. sp. index","Wasatchian"
"Eptesicus campanensis","MN 6"
"Myotis cf. lucifugus","Pleistocene"
"Myotis cf. grisescens","Pleistocene"
"Pipistrellus cf. subflavus","Pleistocene"
"Eptesicus cf. grandis","Pleistocene"
"Microchiroptera informal indet. 1","Bartonian"
"Microchiroptera informal indet. 2","Bartonian"
"Microchiroptera informal indet. 3","Bartonian"
"Microchiroptera informal indet. 4","Bartonian"
"Megaderma watwat","Pleistocene"
"Myotis cf. baranensis","Pleistocene"
"Rhinolophus aff. ferrumequinum","Early Pleistocene"
"Rhinolophus euryale","Early Pleistocene"
"Myotis dasycneme","Early Pleistocene"
"Myotis schaubi","Early Pleistocene"
"Adapisorex ? n. sp. anglicus","Ypresian"
"Rhinolophus ferrumequinum","Middle Pleistocene"
"Miniopterus schreibersii","Middle Pleistocene"
"Rhinolophus ex gr. euryale","Early Pleistocene"
"Myotis cf. blythi","Early Pleistocene"
"Rhinolophus ex gr. euryale","Early Pleistocene"
"Myotis cf. blythi","Early Pleistocene"
"Rhinolophus ex gr. euryale","Early Pleistocene"
"Myotis cf. blythi","Early Pleistocene"
"Myotis cf. blythi","Early Pleistocene"
"Rhinolophus ex gr. euryale","Early Pleistocene"
"Myotis cf. blythi","Early Pleistocene"
"Rhinolophus ex gr. euryale","Early Pleistocene"
"Myotis cf. blythi","Early Pleistocene"
"Rhinolophus kowalskii","MN 16"
"Rhinolophus neglectus","MN 16"
"Shanwangia unexpectula","Astaracian"
"cf. Rhinolophus ferrumequinum","Late Pleistocene"
"Miniopterus schreibersii","Late Pleistocene"
"Myotis myotis","Late Pleistocene"
"Myotis bechsteini","Late Pleistocene"
"Myotis cf. emarginatus","Late Pleistocene"
"Myotis cf. nattereri","Late Pleistocene"
"Vespertilio murinus","Late Pleistocene"
"Myotis myotis","Late Pleistocene"
"Myotis bechsteini","Late Pleistocene"
"Myotis myotis","Late Pleistocene"
"Myotis bechsteini","Late Pleistocene"
"Myotis cf. emarginatus","Late Pleistocene"
"Myotis cf. nattereri","Late Pleistocene"
"Vespertiliavus bourguignati","Early Oligocene"
"Palaeophyllophora sanctaeneboulae","Early Oligocene"
"Vespertiliavus gracilis","Bartonian"
"Vespertiliavus cf. schlosseri","Bartonian"
"Vespertiliavus informal indet. 1","Bartonian"
"Vespertiliavus informal indet. 2","Bartonian"
"Palaeophyllophora quercyi","Bartonian"
"Hipposideros schlosseri","Bartonian"
"Hipposideros n. sp. trassounius","Bartonian"
"cf. Hipposideros schlosseri","Bartonian"
"Cecilionycteris n. sp. prisca","Lutetian"
"Matthesia n. sp. germanica","Lutetian"
"Matthesia ? n. sp. insolita","Lutetian"
"Myotis cf. murinoides","MN 7 + 8"
"Rhinolophus cf. delphinensis","MN 5"
"Eptesicus cf. campanensis","MN 5"
"Hipposideros morloti","Priabonian"
"Hipposideros schlosseri","Priabonian"
"cf. Hipposideros informal sp.2","Priabonian"
"Palaeophyllophora informal sp.1","Priabonian"
"Rhinolophus informal sp.2","Priabonian"
"cf. Vespertiliavus wingei","Priabonian"
"cf. Hipposideros morloti","Priabonian"
"Hipposideros schlosseri","Priabonian"
"cf. Palaeophyllophora quercyi","Priabonian"
"Rhinolophus cf. priscus","Priabonian"
"Chiroptera informal sp.1","Bartonian"
"Chiroptera informal sp.2","Bartonian"
