"identified_name","early_interval"
"Ornimegalonyx oteroi","Pleistocene"
"Strigiformes indet.","Bridgerian"
"Tyto sp.","Pliocene"
"Bubo sp.","Piacenzian"
"Strigidae indet.","Holocene"
"Bubo lacteus","Pleistocene"
"Bubo leakyae","Gelasian"
"Tyto novaehollandiae","Middle Pleistocene"
"Bubo sp.","Pliocene"
"Strigidae indet.","Tortonian"
"Strigiformes ? indet.","Pleistocene"
"Otus scops","Pleistocene"
"Athene noctua","Pleistocene"
"Strix aluco","Pleistocene"
"Tyto pratincola","Late Pleistocene"
"Bubo bubo","Early Pleistocene"
"Bubo sp.","Villanyian"
"Athene veta","Villanyian"
"Surnia robusta","Villanyian"
"Bubo sp.","Villanyian"
"Surnia robusta","Villanyian"
"Asio aff. flammeus","Early Pleistocene"
"Surnia robusta","Early Pleistocene"
"Athene noctua","Early Pleistocene"
"Bubo n. sp. longaevus","Late Miocene"
"Bubo sp.","Pliocene"
"Strigidae indet.","Pliocene"
"Athene sp.","Pliocene"
"Bubo cf. insularis","Middle Pleistocene"
"Strigidae indet.","Middle Pleistocene"
"Athene sp.","Middle Pleistocene"
"Bubo cf. insularis","Late Pleistocene"
"Athene sp.","Late Pleistocene"
"Strigidae indet.","Late Pleistocene"
"Bubo cf. insularis","Late Pleistocene"
"Protostrigidae indet.","Rupelian"
"Strix brea","Rancholabrean"
"Tyto balearica","Late Pliocene"
"Tyto n. sp. balearica","Late Pliocene"
"Tyto balearica","Late Pliocene"
"Bubo insularis","Middle Pleistocene"
"Otus sp.","Middle Pleistocene"
"Athene informal n. sp. Salotti et al. 1997","Middle Pleistocene"
"Tyto balearica","Middle Pleistocene"
"Tyto alba","Middle Pleistocene"
"Protostrix n. sp. californiensis","Early Uintan"
"Tyto alba","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Asio flammeus ?","Late Pleistocene"
"Speotyto cunicularia","Late Pleistocene"
"Strix varia","Late Pleistocene"
"Eostrix n. sp. martinellii","Lysitean"
"Protostrix leptosteus","Bridgerian"
"Berruornis n. sp. halbedeli","Selandian"
"cf. Otus sp.","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Strix cf. occidentalis","Late Pleistocene"
"Asio pigmaea","MN 15"
"Asio flammeus","Late Pleistocene"
"Bubo virginianus","Pleistocene"
"Strix varia","Late Pleistocene"
"Aegolius funereus","Late Pleistocene"
"Aegolius acadicus","Late Pleistocene"
"Surnia ulula","Late Pleistocene"
"Otus asio","Late Pleistocene"
"Strix cf. varia","Late Pleistocene"
"Sceloglaux albifacies","Late Pleistocene"
"n. gen. Ogygoptynx n. sp. wetmorei","Tiffanian"
"Tyto alba","Holocene"
"Otus rutilus","Holocene"
"Tyto noeli","Late Pleistocene"
"Tyto alba","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Asio flammeus","Late Pleistocene"
"Otus sp.","Late Pleistocene"
"Micrathene whitneyi","Late Pleistocene"
"Asio otus","Late Pleistocene"
"Athene cunicularia","Holocene"
"Otus asio","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Asio cf. flammeus","Late Pleistocene"
"Aegolius acadicus","Late Pleistocene"
"Otus asio","Late Pleistocene"
"Aegolius acadicus","Late Pleistocene"
"Strigidae indet.","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Minerva n. sp. saurodosis","Bridgerian"
"Strigiformes indet.","Late Pleistocene"
"Strigiformes indet.","Holocene"
"Strigidae indet.","Holocene"
"Strigiformes indet.","Holocene"
"Strigiformes indet.","Late Pleistocene"
"Asio flammeus","Holocene"
"n. gen. Heterostrix n. sp. tatsinensis","Early Oligocene"
"Eostrix n. sp. tsaganica","Early Eocene"
"Strigidae indet.","Late Pliocene"
"Berruornis orbisantiqui","Thanetian"
"n. gen. Berruornis n. sp. orbisantiqui","Thanetian"
"Bubo bubo","Late Pleistocene"
"Asio flammeus","Pleistocene"
"Asio otus","Pleistocene"
"Bubo bubo","Pleistocene"
"Tyto alba","Late Pleistocene"
"Asio priscus","Late Pleistocene"
"Tyto sactialbani","Badenian"
"Athene cf. veta","Pliocene"
"Bubo bubo","Early Pleistocene"
"Strix aluco","Pleistocene"
"Tyto alba","Late Pleistocene"
"Tyto alba","Pleistocene"
"Tyto alba","Pleistocene"
"Tyto alba","Pleistocene"
"Tyto alba","Pleistocene"
"Otus n. sp. guildayi","Irvingtonian"
"Tyto alba","Rancholabrean"
"Otus asio","Rancholabrean"
"Speotyto cunicularia","Rancholabrean"
"Strix varia","Rancholabrean"
"Tyto balearica","Pliocene"
"Berruornis halbedeli","Selandian"
"Tyto sp.","Holocene"
"Tyto sp.","Holocene"
"Athene cunicularia","Holocene"
"Speotyto cunicularia","Pleistocene"
"Strigidae indet.","Pleistocene"
"Tyto alba","Pleistocene"
"Bubo virginianus","Pleistocene"
"Asio sp.","Pleistocene"
"Tyto alba","Blancan"
"Otus asio","Blancan"
"Bubo virginianus","Blancan"
"Glaucidium explorator","Blancan"
"Glaucidium sp.","Blancan"
"Speotyto cunicularia","Blancan"
"Strix varia","Blancan"
"Asio sp.","Blancan"
"Tyto alba","Irvingtonian"
"Otus asio","Irvingtonian"
"Otus asio","Irvingtonian"
"Tyto alba","Irvingtonian"
"Otus asio","Rancholabrean"
"Strix varia","Rancholabrean"
"Aegolius acadicus","Rancholabrean"
"Tyto alba","Late Pleistocene"
"Otus asio","Late Pleistocene"
"Strix varia","Late Pleistocene"
"Strix varia","Late Pleistocene"
"Tyto alba","Late Pleistocene"
"Otus asio","Late Pleistocene"
"Strix varia","Late Pleistocene"
"Strix varia","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Tyto alba","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
